Acronym,Notes
1h,One hour
4w,Four weeks
50k,"50,000"
Bbb01,Bifidobacterium breve 01
BF,Breastfeeding
(c),Centrifuged
(f),Filtered
IPV,Inactivated poliovirus vaccine
IU,International Units
Lc ATCC,Lactobacillus casei ATCC
LGG,Lactobacillus GG
OCV,Oral cholera vaccine
OPV,Oral poliovirus vaccine
bOPV,Bivalent OPV
mOPV,Monovalent OPV
tOPV,Trivalent OPV
RVV,Rotavirus vaccine
RV1,Rotarix monovalent vaccine
RV5,RotaTeq pentavalent vaccine
Ty21a,Live attenuated strain of salmonella typhi
U/r,Unrestricted
Vit A,Vitamin A
w/,With
w/h,Withheld
w/o,Without
