intervention,forest_x_min_main,forest_x_max_main,forest_x_min_polio,forest_x_max_polio,plot_width_main,plot_width_polio,plot_height_main,plot_height_polio,footnote_x_main,footnote_y_main,footnote_x_polio,footnote_y_polio,column_gap_main
Antihelminthic,0.33,3,1,1,13,1,2,1,0.125,0.2,1,1,5
Breastfeeding withheld,0.33,3,0.33,3,13,12,4.5,3,0.325,0.09,0.348,0.125,5
Buffer,0.5,4,0.75,1.33,13,12,4.5,3,0.325,0.09,0.348,0.135,5
Delayed first dose,0.33,3,0.5,2,13,13,2.5,3,0.125,0.16,0.1,0.1,5
Extra dose at birth,0.75,2,0.75,2,13,13,3.5,6,0.321,0.12,0.328,0.07,5
Extra dose(s),0.33,3,0.75,2,13,11,4.5,3,0.321,0.09,0.38,0.13,3
Increased vaccine inoculum,0.5,4,0.33,3,14,13,5,7,0.302,0.08,0.328,0.06,4.2
Narrow dose interval,0.75,1.33,0.75,1.33,13,13,3,4.5,0.321,0.14,0.321,0.095,5
OPV valence,0.75,4,0.75,4,13,13,3,6,0.132,0.135,0.336,0.07,6.5
Probiotic,0.33,3,0.33,3,13,12,3.5,3.5,0.321,0.12,0.348,0.11,6.2
RVV separated from OPV,0.25,4,0.5,2,13,13,5.5,6.5,0.329,0.07,0.328,0.06,4.2
Vitamin A,0.5,2,0.5,2,13,13,3.1,5.5,0.321,0.135,0.321,0.075,5
Zinc,0.33,3,0.5,2,13,12,4,3,0.325,0.105,0.348,0.14,5.9
