Reference,Vaccine,Intervention_category,Country,N,Age_m,Age_formatted,N_doses,Vaccine_formatted,Study_vaccines_original,Intervention_formatted,Intervention,Control_formatted,Control,Measure_of_SC,Int_SC_n,Int_N,Int_SC_perc,Int_SC_full,Ctrl_SC_n,Ctrl_N,Ctrl_SC_perc,Ctrl_SC_full,Total,Age_group,Baseline_seroconversion,Income_setting,Income_group,SC_timing_preferred
Bruckner (2016),Cholera,Antihelminthic,Gabon,105,7.4,7.4,2,2x WC-rBS,"WC-rBS (2 doses D0, 7)",Albendazole (400mg),Albendazole (400mg),Placebo,Placebo,Cholera-specific IgG,18,38,47%,18/38 (47%),17,33,52%,17/33 (52%),71,infant,0.515151515,lowermiddle,low_lowermiddle,0
Cooper (2000),Cholera,Antihelminthic,Ecuador,233,9,9,1,1x CVD103-HgR,CVD 103-HgR (1 dose D37),Albendazole (400mg),Albendazole (400mg),Placebo,Placebo,Vibriocidal AB,22,75,29%,22/75 (29%),10,64,16%,10/64 (16%),139,infant,0.15625,uppermiddle,uppermiddle_high,1
Ahmed (Jan 2009),Cholera,Breastfeeding withheld,Bangladesh,176,7.5,7.5,2,2x WC-rBS,"WC-rBS (6ml) with buffer (2 doses, 2w apart)",W/h BF (3h),Witholding breastfeeding (3h before),U/r BF,U/r BF,Vibriocidal AB,18,33,55%,18/33 (55%),27,47,57%,27/47 (57%),80,infant,0.574468085,lowermiddle,low_lowermiddle,1
Ahmed (Jan 2009),Cholera,Breastfeeding withheld,Bangladesh,164,14,14,2,2x WC-rBS,"WC-rBS (6ml) with buffer (2 doses, 2w apart)",W/h BF (3h),Witholding breastfeeding (3h before),U/r BF,U/r BF,Vibriocidal AB,24,31,77%,24/31 (77%),27,49,55%,27/49 (55%),80,infant,0.551020408,lowermiddle,low_lowermiddle,1
John (1976),Polio,Breastfeeding withheld,India,302,1.5 - 12.75,1.5--12.8,3,3x tOPV,"tOPV (3 doses, 2,3,4m)",W/h BF (10h),Witholding breastfeeding (10h),U/r BF,U/r BF,OPV1 N-AB,10,17,59%,10/17 (59%),11,18,61%,11/18 (61%),35,multiple,0.611111111,lowermiddle,low_lowermiddle,1
John (1976),Polio,Breastfeeding withheld,India,302,1.5 - 12.75,1.5--12.8,3,3x tOPV,"tOPV (3 doses, 2,3,4m)",W/h BF (10h),Witholding breastfeeding (10h),U/r BF,U/r BF,OPV2 N-AB,16,17,94%,16/17 (94%),18,18,100%,18/18 (100%),35,multiple,1,lowermiddle,low_lowermiddle,1
John (1976),Polio,Breastfeeding withheld,India,302,1.5 - 12.75,1.5--12.8,3,3x tOPV,"tOPV (3 doses, 2,3,4m)",W/h BF (10h),Witholding breastfeeding (10h),U/r BF,U/r BF,OPV3 N-AB,11,17,65%,11/17 (65%),13,18,72%,13/18 (72%),35,multiple,0.722222222,lowermiddle,low_lowermiddle,1
Ali (2015),Rotavirus,Breastfeeding withheld,Pakistan,400,1.4,1.4,3,3x RV1,"RV1 (3 doses, 6,10,14w)",W/h BF (2h),Witholding breastfeeding (1h before & after),U/r BF,U/r BF,Rotavirus IgA AB,51,181,28%,51/181 (28%),65,172,38%,65/172 (38%),353,infant,0.377906977,lowermiddle,low_lowermiddle,1
Ali (2015),Rotavirus,Breastfeeding withheld,Pakistan,400,1.4,1.4,2,2x RV1,"RV1 (2 doses, 6 & 10w)",W/h BF (2h),Witholding breastfeeding (1h before & after),U/r BF,U/r BF,Rotavirus IgA AB,30,181,17%,30/181 (17%),50,172,29%,50/172 (29%),353,infant,0.290697674,lowermiddle,low_lowermiddle,1
Groome (2014),Rotavirus,Breastfeeding withheld,South Africa,250,1.4*,1.4,2,2x RV1,"RV1 (2 doses, 6 & 14w)",W/h BF (2h),Witholding breastfeeding (1h before & after),U/r BF,U/r BF,Rotavirus IgA AB,62,98,63%,62/98 (63%),63,106,59%,63/106 (59%),204,infant,0.594339623,uppermiddle,uppermiddle_high,1
