Intervention,Vaccine,Studies,N,RR,CI_lower,CI_upper
Antihelminthic,OCV,>1,210,1.26,0.63,2.53
Breastfeeding withheld,OCV,1,160,1.18,0.8,1.73
Buffer,OCV,>1,219,1.32,0.98,1.78
Extra dose(s),OCV,1,80,1.35,0.86,2.12
Increased vaccine inoculum,OCV,>1,375,1.12,1,1.26
Probiotic,OCV,1,126,0.82,0.65,1.04
Vitamin A,OCV,1,124,1.21,0.85,1.72
Zinc,OCV,>1,330,1.16,0.75,1.79
Breastfeeding withheld,OPV,1,35,0.9,0.57,1.41
Buffer,OPV,1,261,1.01,0.93,1.1
Extra dose at birth,OPV,>1,790,1.08,0.99,1.14
Extra dose(s),OPV,1,110,1.54,1.21,1.97
Increased vaccine inoculum,OPV,>1,1098,1.02,0.95,1.09
Narrow dose interval,OPV,>1,421,0.98,0.94,1.02
OPV valence,OPV,>1,1820,1.54,1.04,2.28
Probiotic,OPV,1,43,1.57,0.81,3.06
RVV separated from OPV,OPV,>1,1199,1,0.98,1.02
Vitamin A,OPV,>1,1067,1.01,0.99,1.03
Zinc,OPV,1,319,0.99,0.83,1.18
Breastfeeding withheld,RVV,>1,1266,0.84,0.64,1.1
Buffer,RVV,>1,823,1.04,0.96,1.13
Delayed first dose,RVV,>1,1064,1.37,1.16,1.62
Extra dose at birth,RVV,1,46,0.92,0.64,1.32
Extra dose(s),RVV,>1,1325,1.04,0.92,1.18
Narrow dose interval,RVV,1,260,1,0.81,1.24
Probiotic,RVV,>1,326,1.21,0.99,1.49
RVV separated from OPV,RVV,>1,1538,1.21,1,1.47
Zinc,RVV,1,278,1.02,0.7,1.49
